id;clave;descripcion;fecini;fecfin
1;Industrial;connect Markets Chief;2019-08-29;2019-08-29
2;archive Georgia Aruba;software scale interactive;2019-08-28;2019-08-29
3;Specialist Home Loan Account;Plastic;2019-08-28;2019-08-29
4;Industrial;index orange;2019-08-29;2019-08-29
5;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;2019-08-28;2019-08-28
6;Highway Ergonomic;moratorium moratorium;2019-08-29;2019-08-29
7;tangible Mississippi;Frozen bus;2019-08-29;2019-08-29
8;Robust Networked;Poland;2019-08-29;2019-08-29
9;partnerships;Outdoors;2019-08-29;2019-08-29
10;Montana;Corporate Phased relationships;2019-08-29;2019-08-29
